Name,Math,Science,English,Attendance
Aman,86.0,87.0,69.0,65.0
Riya,49.0,36.0,69.0,
Karan,95.0,94.0,67.0,87.0
Divya,55.0,78.0,39.0,79.0
Sahil,58.0,42.0,75.0,89.0
Neha,37.0,81.0,62.0,70.0
Rohan,56.0,69.0,41.0,87.0
Pooja,,70.0,46.0,84.0
Aditya,36.0,84.0,68.0,98.0
Simran,64.0,38.0,67.0,92.0
Vikram,72.0,36.0,82.0,60.0
Anjali,36.0,40.0,57.0,86.0
Rahul,98.0,88.0,96.0,72.0
Kavya,94.0,,71.0,62.0
Arjun,55.0,88.0,78.0,98.0
Meera,67.0,97.0,69.0,65.0
Suresh,92.0,52.0,99.0,67.0
Priya,56.0,78.0,81.0,
Manish,83.0,68.0,37.0,68.0
Isha,93.0,96.0,35.0,
Rajesh,76.0,48.0,39.0,92.0
Sneha,94.0,,48.0,83.0
Vivek,49.0,49.0,61.0,74.0
Tanvi,96.0,96.0,43.0,91.0
Amit,96.0,74.0,49.0,91.0
Nisha,81.0,87.0,76.0,83.0
Deepak,96.0,58.0,85.0,71.0
Ritika,85.0,60.0,,98.0
Gaurav,89.0,94.0,86.0,61.0
Swati,,75.0,38.0,62.0
Harsh,37.0,63.0,57.0,96.0
Preeti,85.0,49.0,49.0,76.0
Sanjay,41.0,79.0,,61.0
Komal,55.0,99.0,63.0,61.0
Yash,73.0,43.0,70.0,87.0
Shreya,52.0,35.0,47.0,82.0
Naveen,38.0,42.0,66.0,96.0
Anita,94.0,97.0,93.0,91.0
Rakesh,48.0,45.0,,92.0
Bhavna,,,76.0,60.0
Karan,95.0,94.0,67.0,87.0
Preeti,85.0,49.0,49.0,76.0
Divya,55.0,78.0,39.0,79.0
